product_id,total_revenue,total_quantity_sold,total_orders
12,346356.72619628906,1332,324
4,229090.8779296875,800,256
6,219741.76391601562,736,256
16,195409.8009338379,792,324
1,163903.8821105957,700,196
8,124433.40051269531,532,196
11,112409.91976928711,420,196
10,86631.03759765625,240,64
9,81132.79998779297,260,100
2,65503.9998626709,260,100
14,63652.9599609375,224,64
7,52735.35949707031,224,64
3,44580.640625,208,64
17,38665.92068481445,144,64
18,38309.759033203125,128,64
13,33858.23913574219,96,36
5,31971.67950439453,208,64
20,13304.28012084961,84,36
15,1444.1600341796875,8,4
