order_id,store_id,product_id,qty,price,date
0,5,6,4,89.29,2026-05-03
1,2,4,4,93.08,2026-05-03
2,3,18,-5,160.54,2026-05-03
3,4,9,5,338.72,2026-05-03
4,1,10,5,270.83,2026-05-03
5,1,16,2,352.41,2026-05-03
6,1,16,2,64.53,2026-05-03
7,3,17,4,434.54,2026-05-03
8,4,8,2,159.63,20205-03
9,4,5,3,257.91,2026-05-03
10,3,13,3,476.02,2026-05-03
11,3,11,1,490.96,2026-05-03
12,2,4,4,-287.51,2026-05-03
13,1,6,2,471.23,2026-05-03
14,4,1,4,393.04,2026-05-03
15,3,7,4,419.93,2026-05-03
16,3,12,5,286.07,2026-05-03
17,5,10,4,497.93,2026-05-03
18,4,5,3,311.52,2026-05-03
19,3,12,1,115.19,2026-05-03
20,3,6,0,387.32,2026-05-03
21,4,1,5,89.29,2026-05-03
22,4,10,1,228.62,2026-05-03
23,1,8,3,219.9,2026-05-03
24,4,12,4,445.84,2026-05-03
25,4,16,2,375.75,2026-05-03
26,5,11,2,409.21,2026-05-03
27,4,20,1,121.75,2026-05-03
28,2,2,2,300.76,2026-05-03
29,2,11,3,114.32,2026-05-03
30,4,5,5,0,2026-05-03
31,5,3,1,230.37,2026-05-03
32,1,3,2,54.91,2026-05-03
33,5,12,4,40.31,2026-05-03
34,1,6,4,294.29,2026-05-03
35,5,4,1,113.19,2026-05-03
36,5,1,3,251.56,2026-05-03
37,1,9,3,131.24,2026-05-03
38,4,15,2,180.52,2026-05-03
39,4,7,2,269.94,2026-05-03
40,4,16,5,38.57,2026-05-03
41,1,11,3,175.34,2026-05-03
42,2,20,-3,-270.41,2026-05-03
43,1,13,2,264.19,2026-05-03
44,5,9,1,57.72,2026-05-03
45,5,7,4,22.92,2026-05-03
46,2,6,2,335.6,2026-05-03
47,2,1,4,57.79,2026-05-03
48,3,4,2,160.08,2026-05-03
49,3,8,2,403.28,2026-05-03
50,4,3,5,50.43,2026-05-03
51,2,2,1,59.38,2026-05-03
52,2,14,3,236.9,
53,4,12,5,413.79,2026-05-03
54,4,16,4,314.45,2026-05-03
55,1,5,2,101.27,2026-05-03
56,3,12,4,201.44,2026-05-03
57,5,17,1,313.17,2026-05-03
58,2,4,5,445.27,2026-05-03
59,5,4,1,459.71,2026-05-03
60,3,13,3,288.36,2026-05-03
61,1,6,2,46.87,2026-05-03
62,3,2,4,482.43,2026-05-03
63,4,8,3,77.69,2026-05-03
64,4,16,4,382.43,2026-05-03
65,4,14,4,245.17,2026-05-03
66,2,11,1,114.22,2026-05-03
67,4,20,3,58.57,2026-05-03
68,4,11,,350.9,2026-05-03
69,4,17,3,27.65,2026-05-03
70,3,11,4,342.79,2026-05-03
71,1,4,3,202.09,2026-05-03
72,2,7,4,246.17,2026-05-03
73,5,16,1,169.45,2026-05-03
74,4,6,1,480.4,2026-05-03
75,5,18,2,432.31,2026-05-03
76,2,14,2,371.04,2026-05-03
77,2,6,5,396.57,2026-05-03
78,5,9,2,472.96,2026-05-03
79,2,9,2,482.84,2026-05-03
80,3,12,4,341.98,2026-05-03
81,1,2,4,112.53,2026-05-03
82,3,14,5,308.97,2026-05-03
83,3,17,1,282.34,2026-05-03
84,3,3,5,438.79,2026-05-03
85,1,1,5,334.39,2026-05-03
5,4,4,5,382.21,2026-05-03
87,5,1,1,348.23,2026-05-03
88,3,10,5,367.99,2026-05-03
89,3,16,1,452.73,2026-05-03
90,4,16,1,240.12,2026-05-03
91,5,12,5,85.92,2026-05-03
92,5,8,2,159.25,2026-05-03
93,2,2,2,117.23,2026-05-03
94,1,1,3,276.36,2026-05-03
95,2,8,4,224.67,2026-05-03
96,3,12,5,291.73,2026-05-03
97,3,18,2,338.11,2026-05-03
98,4,8,3,402.76,2026-05-03
99,3,18,1,371.9,2026-05-03
